Word	[ (Document1, Count1), ... ]
2001	(10, 1) (19, 1) (12, 3) (13, 3) (24, 1) 
2001arthur	(10, 1) 
2001blair	(10, 1) 
2001external	(14, 1) 
2001whiting	(10, 1) 
2002	(24, 2) (12, 1) (27, 1) (13, 1) (9, 3) (4, 1) (5, 1) 
2002flint	(10, 1) 
2002future	(12, 1) (13, 1) 
2002koskimaki	(10, 1) 
2002lunteren	(10, 1) 
2002national	(25, 1) 
2002nelson	(19, 1) 
2002rommelse	(25, 1) 
2003	(19, 1) (10, 3) (24, 3) (4, 2) (18, 2) (9, 2) (22, 1) 
2003ambrose	(10, 1) 
2003external	(22, 1) 
2004	(19, 1) (13, 1) (4, 1) (12, 1) (27, 1) (18, 1) 
2004buckingham	(10, 1) 
2004calvocoressi	(10, 1) 
2004french	(10, 1) 
2004historynetcom	(10, 1) 
2004koskimaki	(10, 1) 
2004l	(10, 1) 
2004theparascouk	(10, 1) 
2005	(21, 1) (8, 1) (4, 1) (9, 2) 
2005balkoski	(10, 1) 
2005hastings	(10, 1) 
2005middlebrook	(10, 1) 
2005nordyke	(10, 1) 
2005technical	(14, 1) 
2006	(9, 3) (26, 1) (17, 1) (19, 2) (27, 1) (13, 2) (12, 2) (15, 1) (28, 1) 
